0.0	0.0
0.0971	0.0794
0.1505	0.1248
0.1829	0.1645
0.2343	0.2268
0.24	0.2306
0.3543	0.3403
0.36	0.3516
0.36	0.3535
0.4229	0.4197
0.4629	0.4896
0.4705	0.5009
0.4743	0.5085
0.4743	0.5085
0.4781	0.5085
0.541	0.5444
0.5676	0.569
0.5829	0.5784
0.5905	0.5822
0.5905	0.586
0.5924	0.5879
0.5924	0.5879
0.5981	0.5879
0.5981	0.5898
0.5981	0.5898
0.6	0.5898
0.6057	0.5917
0.6533	0.6352
0.6724	0.6597
0.6933	0.673
0.7048	0.6805
0.7086	0.6938
0.7086	0.6975
0.7162	0.7013
0.7181	0.7032
0.72	0.7051
0.7219	0.707
0.7219	0.707
0.7238	0.7089
0.7238	0.7089
0.7238	0.7089
0.7257	0.7108
0.7257	0.7127
0.7276	0.7127
0.7295	0.7164
0.7314	0.7164
0.7314	0.7164
0.7314	0.7202
0.7314	0.7202
0.7314	0.7202
0.7314	0.7202
1.0	1.0
