0.0	0.0
0.0362	0.0359
0.059	0.0435
0.0686	0.0624
0.0876	0.087
0.0895	0.0907
0.1524	0.1418
0.1581	0.1437
0.16	0.1437
0.2114	0.1966
0.261	0.2628
0.2781	0.276
0.2781	0.2798
0.2819	0.2836
0.2838	0.2836
0.3714	0.3875
0.4229	0.4272
0.4476	0.448
0.4552	0.4575
0.4648	0.465
0.4686	0.4726
0.4705	0.4745
0.4705	0.4745
0.4743	0.4764
0.4762	0.4783
0.4762	0.4802
0.4857	0.4877
0.5352	0.552
0.56	0.5709
0.5771	0.5879
0.5905	0.6011
0.6019	0.6106
0.6133	0.6163
0.6171	0.6219
0.6248	0.6295
0.6267	0.6371
0.6267	0.6389
0.6267	0.6408
0.6286	0.6427
0.6286	0.6446
0.6286	0.6465
0.6286	0.6522
0.6305	0.6597
0.6305	0.6635
0.6305	0.6635
0.6324	0.6635
0.6343	0.6635
0.6343	0.6635
0.6343	0.6635
0.6343	0.6673
0.6362	0.6673
1.0	1.0
