0.0	0.0
0.0248	0.0191
0.0286	0.0267
0.0344	0.0305
0.0439	0.0439
0.0458	0.0439
0.1011	0.1088
0.1031	0.1164
0.1031	0.1164
0.2271	0.2385
0.3282	0.3397
0.3454	0.355
0.3492	0.3626
0.3492	0.3645
0.3511	0.3664
0.5477	0.5363
0.6088	0.6107
0.626	0.6393
0.6393	0.6469
0.6508	0.6508
0.6508	0.6565
0.6546	0.6603
0.6565	0.6622
0.6584	0.6641
0.6584	0.6641
0.6584	0.6641
0.6927	0.6775
0.7901	0.7443
0.8225	0.7729
0.8454	0.8053
0.8511	0.8321
0.8645	0.8416
0.8798	0.8454
0.8836	0.8473
0.8912	0.855
0.895	0.8607
0.9008	0.8626
0.9046	0.8664
0.9046	0.8664
0.9046	0.8683
0.9065	0.8683
0.9084	0.8683
0.9103	0.874
0.9122	0.8798
0.9122	0.8836
0.916	0.8874
0.916	0.8874
0.916	0.8874
0.9179	0.8893
0.9198	0.8893
0.9198	0.8893
1.0	1.0
