0.0	0.0
0.0457	0.0699
0.0571	0.1285
0.0857	0.1834
0.099	0.2344
0.1029	0.2344
0.1752	0.3951
0.1771	0.4008
0.1771	0.4026
0.2457	0.5198
0.3048	0.5463
0.3048	0.5463
0.3048	0.5482
0.3048	0.5482
0.3048	0.5501
0.4781	0.603
0.5181	0.6087
0.5295	0.6144
0.5314	0.6163
0.5314	0.6163
0.5314	0.6181
0.5333	0.6181
0.5333	0.62
0.5333	0.62
0.5333	0.62
0.5352	0.6219
0.541	0.6238
0.5714	0.6352
0.5829	0.6371
0.5924	0.6408
0.5981	0.6427
0.6	0.6484
0.6019	0.6484
0.6038	0.6484
0.6057	0.6484
0.6057	0.6484
0.6095	0.6484
0.6095	0.6484
0.6095	0.6484
0.6133	0.6503
0.6152	0.6522
0.6152	0.6522
0.6171	0.6522
0.619	0.6522
0.619	0.6541
0.619	0.6541
0.619	0.656
0.619	0.656
0.619	0.656
0.619	0.656
0.619	0.656
1.0	1.0
